"","dateTime","day_of_week","month","season"
"559",2015-07-13,"Monday",7,"summer"
"560",2015-07-14,"Tuesday",7,"summer"
"561",2015-07-15,"Wednesday",7,"summer"
"562",2015-07-16,"Thursday",7,"summer"
"563",2015-07-17,"Friday",7,"summer"
"564",2015-07-18,"Saturday",7,"summer"
"565",2015-07-19,"Sunday",7,"summer"
"566",2015-07-20,"Monday",7,"summer"
"567",2015-07-21,"Tuesday",7,"summer"
"568",2015-07-22,"Wednesday",7,"summer"
"569",2015-07-23,"Thursday",7,"summer"
"570",2015-07-24,"Friday",7,"summer"
"571",2015-07-25,"Saturday",7,"summer"
"572",2015-07-26,"Sunday",7,"summer"
"573",2015-07-27,"Monday",7,"summer"
"574",2015-07-28,"Tuesday",7,"summer"
"575",2015-07-29,"Wednesday",7,"summer"
"576",2015-07-30,"Thursday",7,"summer"
"577",2015-07-31,"Friday",7,"summer"
"578",2015-08-01,"Saturday",8,"summer"
"579",2015-08-02,"Sunday",8,"summer"
"580",2015-08-03,"Monday",8,"summer"
"581",2015-08-04,"Tuesday",8,"summer"
"582",2015-08-05,"Wednesday",8,"summer"
"583",2015-08-06,"Thursday",8,"summer"
"584",2015-08-07,"Friday",8,"summer"
"585",2015-08-08,"Saturday",8,"summer"
"586",2015-08-09,"Sunday",8,"summer"
"587",2015-08-10,"Monday",8,"summer"
"588",2015-08-11,"Tuesday",8,"summer"
"589",2015-08-12,"Wednesday",8,"summer"
"590",2015-08-13,"Thursday",8,"summer"
"591",2015-08-14,"Friday",8,"summer"
"592",2015-08-15,"Saturday",8,"summer"
"593",2015-08-16,"Sunday",8,"summer"
"594",2015-08-17,"Monday",8,"summer"
"595",2015-08-18,"Tuesday",8,"summer"
"596",2015-08-19,"Wednesday",8,"summer"
"597",2015-08-20,"Thursday",8,"summer"
"598",2015-08-21,"Friday",8,"summer"
"599",2015-08-22,"Saturday",8,"summer"
"600",2015-08-23,"Sunday",8,"summer"
"601",2015-08-24,"Monday",8,"summer"
"602",2015-08-25,"Tuesday",8,"summer"
"603",2015-08-26,"Wednesday",8,"summer"
